BMP2,20,1,21.599599996811037
BMP2,20,4,19.21396620059404
BMP2,20,8,25.792750799045027
BMP2,20,24,24.071087585763276
BMP2,20,48,23.66500630878854
EGF,10,1,18.717819754991467
EGF,10,4,19.917069360744257
EGF,10,8,19.05439493922598
EGF,10,24,18.19337779125632
EGF,10,48,20.737173397986545
HGF,40,1,20.579322440684905
HGF,40,4,26.03000705375777
HGF,40,8,22.448813201310305
HGF,40,24,26.268295515585805
HGF,40,48,24.794989115509484
IFNG,20,1,17.729675501824747
IFNG,20,4,19.90698028834629
IFNG,20,8,22.777731846154754
IFNG,20,24,19.61460159054531
IFNG,20,48,25.55131056465808
OSM,10,1,18.690436198526776
OSM,10,4,20.34841448396741
OSM,10,8,23.988357247161513
OSM,10,24,25.54659988948606
OSM,10,48,23.50588815405525
PBS,0,1,17.803734913555658
PBS,0,4,22.681144605568086
PBS,0,8,24.857542741070745
PBS,0,24,25.239170119273
PBS,0,48,24.0963738396046
TGFB,10,1,22.323066293617238
TGFB,10,4,23.78862985920437
TGFB,10,8,22.157787752198292
TGFB,10,24,22.28037711839507
TGFB,10,48,24.158398394620978
ctrl,0,0,17.942422673860207
